iter	Passed	Remaining
0	1	103
1	1	96
2	2	94
3	3	86
4	4	84
5	5	83
6	6	84
7	7	85
8	8	85
9	9	84
10	10	82
11	11	82
12	12	82
13	13	81
14	14	80
15	15	79
16	16	79
17	17	80
18	18	79
19	19	78
20	20	77
21	21	76
22	22	76
23	23	75
24	24	74
25	25	73
26	27	73
27	28	72
28	29	71
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	39	63
38	40	62
39	41	61
40	42	61
41	42	59
42	43	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	69	31
69	70	30
70	72	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
